Swedish,German,Category
en inomhussport,ein Indoor-Sport,"Fritid, hobbies, sport"
en utomhussport,ein Outdoor-Sport,"Fritid, hobbies, sport"
en lagsport,ein Mannschaftssport,"Fritid, hobbies, sport"
en individuell sport,eine Individualsportart,"Fritid, hobbies, sport"
barn som leker på gatan,Kinder spielen auf der Straße,"Fritid, hobbies, sport"
en idrottsanläggning,eine Sportanlage,"Fritid, hobbies, sport"
en konsert,ein Konzert,"Fritid, hobbies, sport"
en nöjespark,ein Vergnügungspark,"Fritid, hobbies, sport"
en populär bok,ein beliebtes Buch,"Fritid, hobbies, sport"
en person som lagar mat,"eine Person, die kocht","Fritid, hobbies, sport"
ett hus,ein Haus,"Bostäder, bostadsytor"
en lägenhet,eine Wohnung,"Bostäder, bostadsytor"
ett vardagsrum,ein Wohnzimmer,"Bostäder, bostadsytor"
ett sovrum,ein Schlafzimmer,"Bostäder, bostadsytor"
ett badrum,ein Badezimmer,"Bostäder, bostadsytor"
ett kök,eine Küche,"Bostäder, bostadsytor"
en lantlig bostad,ein ländlicher Wohnsitz,"Bostäder, bostadsytor"
en stadsbostad,ein städtischer Wohnsitz,"Bostäder, bostadsytor"
ett flerfamiljshus,ein Wohnblock,"Bostäder, bostadsytor"
en matsal,ein Esszimmer,"Bostäder, bostadsytor"
köksmaskiner,Küchengeräte,"Bostäder, bostadsytor"
saker som används för att äta,"Dinge, die zum Essen verwendet werden","Bostäder, bostadsytor"
en husträdgård,ein Hausgarten,"Bostäder, bostadsytor"
en semesterlägenhet,eine Ferienwohnung,"Bostäder, bostadsytor"
rengöringsutrustning,Reinigungsgeräte,"Bostäder, bostadsytor"
hushållsartiklar,Haushaltsgegenstände,"Bostäder, bostadsytor"
sociala bostäder,sozialer Wohnungsbau,"Bostäder, bostadsytor"
statschefsbostad,Wohnsitz des Staatsoberhauptes,"Bostäder, bostadsytor"
en herrgård,ein Herrenhaus,"Bostäder, bostadsytor"
ett palats,ein Palast,"Bostäder, bostadsytor"
en politiker,ein Politiker,Politik
ett val,eine Wahl,Politik
parlamentariker,Parlamentsabegordnete,Politik
en invigningsceremoni,eine Einweihungsfeier,Politik
statschefen,das Staatsoberhaupt,Politik
en politisk protest,ein politischer Protest,Politik
en revolution,eine Revolution,Politik
en politisk skandal,ein politischer Skandal,Politik
en diktator,ein Diktator,Politik
krig,Krieg,Politik
en vallokal,ein Wahllokal,Politik
en nyvald statschef på sin första dag i ämbetet,ein neu gewähltes Staatsoberhaupt an seinem ersten Tag im Amt,Politik
propaganda,Propaganda,Politik
en politisk annons,eine politische Anzeige,Politik
en politisk sammankomst,eine politische Versammlung,Politik
en politisk debatt,Eine politische Debatte,Politik
en (arbetar)strejk,ein (Arbeiter-)Streik,Politik
en röstsedel,ein Stimmzettel,Politik
en oppositionspolitiker,ein Oppositionspolitiker,Politik
ett diplomatiskt toppmöte,ein diplomatischer Gipfel,Politik
en religiös person,ein religiöser Mensch,Religion
en religiös byggnad,ein religiöses Gebäude,Religion
en bön,ein Gebet,Religion
en religiös högtid,ein religiöser Feiertag,Religion
en religiös bok,ein religiöses Buch,Religion
en religiös grupp,eine religiöse Gruppe,Religion
en religiös symbol,ein religiöses Symbol,Religion
en religös ledare,ein religiöser Führer,Religion
en icke-religiös person,eine nicht-religiöse Person,Religion
en religiös ceremoni,eine religiöse Zeremonie,Religion
religiösa kläder,religiöse Kleidung,Religion
en kyrkogård,ein Friedhof,Religion
en plats för bön,ein Ort des Gebets,Religion
en begravning,eine Beerdigung,Religion
en religiös högtid,eine religiöse Feier,Religion
en helig text,ein heiliger Text,Religion
en religiös procession,eine religiöse Prozession,Religion
en diskussion mellan en religiös ledare och en anhängare,eine Diskussion zwischen einem religiösen Führer und einem Anhänger,Religion
ett heligt föremål,ein heiliger Gegenstand,Religion
en helig plats,eine heilige Stätte,Religion
en polisstation,eine Polizeistation,Polisverksamhet och kriminalitet
poliser,Polizisten,Polisverksamhet och kriminalitet
ett polisfordon,ein Polizeifahrzeug,Polisverksamhet och kriminalitet
ett fängelse,ein Gefängnis,Polisverksamhet och kriminalitet
en person som grips,"eine Person, die verhaftet wird",Polisverksamhet och kriminalitet
en rättssal,ein Gerichtssaal,Polisverksamhet och kriminalitet
en domstol i sammanträde,ein Gericht in Sitzung,Polisverksamhet och kriminalitet
en brottsplats,ein Tatort,Polisverksamhet och kriminalitet
brottslingar,Kriminelle,Polisverksamhet och kriminalitet
en fånge,ein Insasse,Polisverksamhet och kriminalitet
en intagen dömd till maxstraff,"ein Häftling, der zu einer Höchststrafe verurteilt wird",Polisverksamhet och kriminalitet
en person som ringer polisen,"eine Person, die die Polizei ruft",Polisverksamhet och kriminalitet
fängelsemat,Gefängnisessen,Polisverksamhet och kriminalitet
en polis på gatan bland civila,ein Polizist auf der Straße unter Zivilisten,Polisverksamhet och kriminalitet
en domare,ein Richter,Polisverksamhet och kriminalitet
en advokat,ein Anwalt,Polisverksamhet och kriminalitet
kravallpolis,Bereitschaftspolizei,Polisverksamhet och kriminalitet
en person som är en politisk fånge,"eine Person, die ein politischer Gefangener ist",Polisverksamhet och kriminalitet
ett ungdomsfängelse,eine Jugendstrafanstalt,Polisverksamhet och kriminalitet
en högsäkerhetsfängelseavdelning,ein Hochsicherheitsgefängnisflügel,Polisverksamhet och kriminalitet
en ful person,ein hässlicher Mensch,"Skönhet, mode"
en vacker person,ein wunderschöner Mensch,"Skönhet, mode"
en fashionabel person,ein modischer Mensch,"Skönhet, mode"
en traditionellt klädd person,eine traditionell gekleidete Person,"Skönhet, mode"
en ledigt klädd person,eine lässig gekleidete Person,"Skönhet, mode"
en formellt klädd person,eine formell gekleidete Person,"Skönhet, mode"
en person i traditionell bröllopsdräkt,eine Person in traditioneller Hochzeitskleidung,"Skönhet, mode"
en person i streetwear,eine Person in Streetwear,"Skönhet, mode"
en person i sportkläder,eine Person in Sportkleidung,"Skönhet, mode"
en välklädd person,eine gut gekleidete Person,"Skönhet, mode"
en person som bär smink,"eine Person, die Make-up trägt","Skönhet, mode"
en person med en professionellt utseende frisyr,eine Person mit einem professionell aussehenden Haarschnitt,"Skönhet, mode"
en person med en oprofessionellt utseende frisyr,eine Person mit einem unprofessionell aussehenden Haarschnitt,"Skönhet, mode"
en person klädd för ett affärsmöte,"eine Person, die für ein Geschäftstreffen gekleidet ist","Skönhet, mode"
en person klädd för en fest,"eine Person, die für eine Party gekleidet ist","Skönhet, mode"
en person som gör sig redo för en konsert,"eine Person, die sich auf ein Konzert vorbereitet","Skönhet, mode"
en person klädd för att gå på operan,"eine Person, die für den Opernbesuch gekleidet ist","Skönhet, mode"
en person klädd för en date night,"eine Person, die für eine Verabredungsnacht gekleidet ist","Skönhet, mode"
en person klädd för en anställningsintervju,"eine Person, die für ein Vorstellungsgespräch gekleidet ist","Skönhet, mode"
en person i uniform,eine Person in einer Uniform,"Skönhet, mode"
en annons för ett bilmärke,eine Werbung für eine Automarke,Reklam
en annons för en snabbmatskedja,eine Werbung für eine Fastfood-Kette,Reklam
en annons för en stormarknadskedja,eine Werbung für eine Supermarktkette,Reklam
en annons för en bank,eine Werbung für eine Bank,Reklam
en TV-reklam,eine Fernsehwerbung,Reklam
en annons på nätet,eine Online-Werbung,Reklam
en skyltannons,eine Plakatwerbung,Reklam
ett flygblad,ein Flyer,Reklam
en annons i sociala medier,eine Social-Media-Werbung,Reklam
en tidningsannons,eine Zeitungsanzeige,Reklam
en reklam för ett lyxmärke,eine Werbung für eine Luxusmarke,Reklam
en annons för ett dryckesmärke,eine Werbung für eine Getränkemarke,Reklam
en annons för ett klädmärke,eine Werbung für eine Bekleidungsmarke,Reklam
en annons för ett flygbolag,eine Werbung für eine Fluggesellschaft,Reklam
en annons för ett telekomföretag,eine Werbung für ein Telekommunikationsunternehmen,Reklam
en reklam för en hälsoprodukt,eine Werbung für ein Gesundheitsprodukt,Reklam
en annons för en alkoholhaltig dryck,eine Werbung für ein alkoholisches Getränk,Reklam
en annons för en mejeriprodukt,eine Werbung für ein Milchprodukt,Reklam
en annons för ett läskmärke,eine Werbung für eine Limonadenmarke,Reklam
en annons för ett nytt företag,eine Anzeige für ein neues Unternehmen,Reklam
en person som är invandrare,"eine Person, die ein Einwanderer ist",Invandring
en person som är asylsökande,"eine Person, die ein Asylbewerber ist",Invandring
en person som är politisk flykting,"eine Person, die ein politischer Flüchtling ist",Invandring
en person som är en ekonomisk migrant,"eine Person, die ein Wirtschaftsflüchtling ist",Invandring
gränskontroll,Grenzkontrolle,Invandring
en person som är en expat,"eine Person, die ein Expat ist",Invandring
en person som är flykting,"eine Person, die ein Flüchtling ist",Invandring
en person som är en irreguljär invandrare,"eine Person, die ein irregulärer Einwanderer ist",Invandring
en statslös person,ein Staatenloser,Invandring
en person som är naturaliserad medborgare i,"eine Person, die eingebürgerter Staatsbürger von ist",Invandring
en person som är medborgare i,"eine Person, die Staatsbürger von ist",Invandring
en fördriven person,ein Vertriebener,Invandring
en person som är infödd i,"eine Person, die aus stammt",Invandring
en person som är utlänning,"eine Person, die ein Ausländer ist",Invandring
ett immigrationsfängelse,ein Einwanderungsgefängnis,Invandring
en person som utvisats från,"eine Person, aus der abgeschoben wurde",Invandring
en person som är migrerande arbetstagare,"eine Person, die ein Wanderarbeiter ist",Invandring
en person som är en immigrationstjänsteman,"eine Person, die ein Einwanderungsbeamter ist",Invandring
en person som är en välintegrerad invandrare,"eine Person, die ein gut integrierter Einwanderer ist",Invandring
en dåligt integrerad invandrarperson som är,"ein schlecht integrierter Einwanderer, der es ist",Invandring
